iata,icao,name,city,country_code,latitude,longitude
BRU,EBBR,Brussels Airport,Zaventem,BE,50.901402,4.48444
LHR,EGLL,London Heathrow Airport,London,GB,51.470748,-0.459909
BCN,LEBL,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,41.2971,2.07846
MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,40.493407,-3.572249
LIS,LPPT,Lisbon Humberto Delgado Airport,Lisbon,PT,38.7813,-9.13592
FCO,LIRF,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,41.804532,12.251998
CPH,EKCH,Copenhagen Kastrup Airport,Copenhagen,DK,55.617900848389,12.656000137329
ARN,ESSA,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829
PRG,LKPR,Václav Havel Airport Prague,Prague,CZ,50.100874,14.259911
ATH,LGAV,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445
AGP,LEMG,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911
DUB,EIDW,Dublin Airport,Dublin,IE,53.428713,-6.262121
MAN,EGCC,Manchester Airport,"Manchester, Greater Manchester",GB,53.349375,-2.279521
EDI,EGPH,Edinburgh Airport,"Ingliston, Edinburgh",GB,55.950145,-3.372288
NCE,LFMN,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,43.658401,7.21587
MRS,LFML,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,43.438088,5.2125
TLS,LFBO,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,43.629101,1.36382
GVA,LSGG,Geneva International Airport,Geneva,CH,46.238098,6.10895
ZRH,LSZH,Zürich Airport,Zurich,CH,47.458056,8.548056
BER,EDDB,Berlin Brandenburg Airport,Berlin,DE,52.361738,13.502341
MUC,EDDM,Munich Airport,Munich,DE,48.353802,11.7861
HAM,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,DE,53.630402,9.98823
VIE,LOWW,Vienna International Airport,Vienna,AT,48.110298,16.5697
OSL,ENGM,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,60.193901,11.1004
HEL,EFHK,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,60.318363,24.963341
GOT,ESGG,Göteborg Landvetter Airport,Göteborg,SE,57.6628,12.2798
OPO,LPPR,Francisco de Sá Carneiro Airport,Porto,PT,41.2481002808,-8.68138980865
ALC,LEAL,Alicante-Elche Miguel Hernández Airport,Alicante,ES,38.2822,-0.558156
PMI,LEPA,Palma de Mallorca Airport,Palma de Mallorca,ES,39.551701,2.73881
VLC,LEVC,Valencia Airport,Valencia,ES,39.489162,-0.480961
MXP,LIMC,Milan Malpensa International Airport,Ferno (VA),IT,45.6306,8.72811
NAP,LIRN,Naples International Airport,Napoli,IT,40.886002,14.2908
VCE,LIPZ,Venice Marco Polo Airport,Venezia (VE),IT,45.505299,12.3519
BUD,LHBP,Budapest Liszt Ferenc International Airport,Budapest,HU,47.43018,19.262393
WAW,EPWA,Warsaw Chopin Airport,Warsaw,PL,52.165699,20.9671
KRK,EPKK,Kraków John Paul II International Airport,Balice,PL,50.077702,19.7848
OTP,LROP,Bucharest Henri Coandă International Airport,Otopeni,RO,44.571792,26.103285
SOF,LBSF,Sofia Airport,Sofia,BG,42.696357,23.417671
SPU,LDSP,Split Saint Jerome Airport,Split,HR,43.538898,16.298
RAK,GMMX,Marrakesh Menara Airport,Marrakesh,MA,31.604807,-8.035788
IST,LTFM,İstanbul Airport,Istanbul,TR,41.274874,28.732136
