destination,market_type,base_weekly_demand,fare_multiplier,airport_cost_tier,weekly_fixed_route_cost,competition_level
LHR,business,2400,1.25,high,12000,high
BCN,mixed,2200,1.00,medium,8000,high
MAD,mixed,1800,1.05,medium,8000,high
LIS,mixed,1500,1.10,medium,7000,medium
FCO,mixed,2000,1.05,medium,8000,high
CPH,business,1300,1.20,high,9000,high
ARN,mixed,1100,1.15,medium,7000,medium
PRG,mixed,1200,0.95,medium,6000,medium
ATH,leisure,1500,1.00,medium,7000,medium
AGP,leisure,1800,0.90,low,5000,medium
DUB,mixed,1500,1.05,medium,7000,high
MAN,mixed,1350,1.05,medium,7000,medium
EDI,leisure,1150,1.05,medium,6000,medium
NCE,leisure,1500,1.00,medium,7000,medium
MRS,mixed,1200,0.95,medium,6000,medium
TLS,mixed,1050,1.00,medium,6000,medium
GVA,business,1450,1.20,high,9000,high
ZRH,business,1600,1.25,high,10000,high
BER,mixed,1700,1.00,medium,7000,high
MUC,business,1750,1.20,high,9000,high
HAM,business,1200,1.15,medium,7000,medium
VIE,mixed,1550,1.10,medium,7000,high
OSL,mixed,1250,1.15,high,8000,medium
HEL,mixed,1050,1.15,medium,7000,medium
GOT,mixed,900,1.05,medium,6000,low
OPO,leisure,1250,0.95,low,5000,medium
ALC,leisure,1550,0.90,low,5000,medium
PMI,leisure,1850,0.85,low,5000,high
VLC,leisure,1200,0.90,low,5000,medium
MXP,mixed,1900,1.05,high,9000,high
NAP,leisure,1450,0.95,medium,6000,medium
VCE,leisure,1400,1.00,medium,7000,medium
BUD,mixed,1400,0.95,medium,6000,medium
WAW,business,1550,1.10,medium,7000,medium
KRK,leisure,1150,0.90,low,5000,low
OTP,mixed,1200,1.00,medium,6000,medium
SOF,mixed,950,0.95,low,5000,low
SPU,leisure,1100,1.00,low,5000,low
RAK,leisure,1350,1.00,medium,6000,medium
IST,mixed,1850,1.15,high,10000,high
