route_id,origin,destination,distance_km,one_way_block_hours,round_trip_block_hours,aircraft_type,range_feasible,frequency_options,market_type,base_weekly_demand,fare_multiplier,airport_cost_tier,weekly_fixed_route_cost,competition_level,average_fare,airport_service_cost_per_rotation,flight_operating_cost_per_rotation,variable_cost_per_rotation,weekly_demand
BRU-LHR,BRU,LHR,350,1.02,3.54,A320neo,True,0|3|4|7|10|14,business,2400,1.25,high,12000,high,84.69,2800,7189.0,9989.0,2400
BRU-BCN,BRU,BCN,1084,2.0,5.5,A320neo,True,0|3|4|7|10|14,mixed,2200,1.0,medium,8000,high,115.46,2000,12378.2,14378.2,2200
BRU-MAD,BRU,MAD,1314,2.3,6.1,A320neo,True,0|3|4|7|10|14,mixed,1800,1.05,medium,8000,high,136.93,2000,13992.2,15992.2,1800
BRU-LIS,BRU,LIS,1717,2.84,7.18,A320neo,True,0|3|4|7|10|14,mixed,1500,1.1,medium,7000,medium,172.27,2000,16844.6,18844.6,1500
BRU-FCO,BRU,FCO,1173,2.11,5.72,A320neo,True,0|3|4|7|10|14,mixed,2000,1.05,medium,8000,high,127.31,2000,12992.4,14992.4,2000
BRU-CPH,BRU,CPH,754,1.56,4.62,A320neo,True,0|3|4|7|10|14,business,1300,1.2,high,9000,high,112.81,2800,10046.2,12846.2,1300
BRU-ARN,BRU,ARN,1288,2.27,6.04,A320neo,True,0|3|4|7|10|14,mixed,1100,1.15,medium,7000,medium,148.03,2000,13816.4,15816.4,1100
BRU-PRG,BRU,PRG,697,1.48,4.46,A320neo,True,0|3|4|7|10|14,mixed,1200,0.95,medium,6000,medium,85.79,2000,9636.6,11636.6,1200
BRU-ATH,BRU,ATH,2101,3.35,8.2,A320neo,True,0|3|4|7|10|14,leisure,1500,1.0,medium,7000,medium,181.56,2000,19554.8,21554.8,1500
BRU-AGP,BRU,AGP,1735,2.86,7.22,A320neo,True,0|3|4|7|10|14,leisure,1800,0.9,low,5000,medium,142.0,1500,16965.0,18465.0,1800
BRU-DUB,BRU,DUB,784,1.6,4.7,A320neo,True,0|3|4|7|10|14,mixed,1500,1.05,medium,7000,high,100.76,2000,10258.2,12258.2,1500
BRU-MAN,BRU,MAN,536,1.26,4.02,A320neo,True,0|3|4|7|10|14,mixed,1350,1.05,medium,7000,medium,83.83,2000,8489.8,10489.8,1350
BRU-EDI,BRU,EDI,765,1.57,4.64,A320neo,True,0|3|4|7|10|14,leisure,1150,1.05,medium,6000,medium,99.46,2000,10116.0,12116.0,1150
BRU-NCE,BRU,NCE,831,1.66,4.82,A320neo,True,0|3|4|7|10|14,leisure,1500,1.0,medium,7000,medium,99.02,2000,10585.8,12585.8,1500
BRU-MRS,BRU,MRS,832,1.66,4.82,A320neo,True,0|3|4|7|10|14,mixed,1200,0.95,medium,6000,medium,94.13,2000,10590.6,12590.6,1200
BRU-TLS,BRU,TLS,842,1.67,4.84,A320neo,True,0|3|4|7|10|14,mixed,1050,1.0,medium,6000,medium,99.73,2000,10655.6,12655.6,1050
BRU-GVA,BRU,GVA,532,1.26,4.02,A320neo,True,0|3|4|7|10|14,business,1450,1.2,high,9000,high,95.5,2800,8470.6,11270.6,1450
BRU-ZRH,BRU,ZRH,483,1.19,3.88,A320neo,True,0|3|4|7|10|14,business,1600,1.25,high,10000,high,95.49,2800,8116.4,10916.4,1600
BRU-BER,BRU,BER,643,1.41,4.32,A320neo,True,0|3|4|7|10|14,mixed,1700,1.0,medium,7000,high,86.8,2000,9258.4,11258.4,1700
BRU-MUC,BRU,MUC,597,1.35,4.2,A320neo,True,0|3|4|7|10|14,business,1750,1.2,high,9000,high,100.57,2800,8935.6,11735.6,1750
BRU-HAM,BRU,HAM,482,1.19,3.88,A320neo,True,0|3|4|7|10|14,business,1200,1.15,medium,7000,medium,87.78,2000,8111.6,10111.6,1200
BRU-VIE,BRU,VIE,925,1.78,5.06,A320neo,True,0|3|4|7|10|14,mixed,1550,1.1,medium,7000,high,115.64,2000,11241.0,13241.0,1550
BRU-OSL,BRU,OSL,1113,2.03,5.56,A320neo,True,0|3|4|7|10|14,mixed,1250,1.15,high,8000,medium,134.95,2800,12568.4,15368.4,1250
BRU-HEL,BRU,HEL,1647,2.75,7.0,A320neo,True,0|3|4|7|10|14,mixed,1050,1.15,medium,7000,medium,174.86,2000,16355.6,18355.6,1050
BRU-GOT,BRU,GOT,905,1.76,5.02,A320neo,True,0|3|4|7|10|14,mixed,900,1.05,medium,6000,low,109.02,2000,11111.0,13111.0,900
BRU-OPO,BRU,OPO,1473,2.51,6.52,A320neo,True,0|3|4|7|10|14,leisure,1250,0.95,low,5000,medium,133.71,1500,15112.4,16612.4,1250
BRU-ALC,BRU,ALC,1458,2.49,6.48,A320neo,True,0|3|4|7|10|14,leisure,1550,0.9,low,5000,medium,125.79,1500,15006.4,16506.4,1550
BRU-PMI,BRU,PMI,1269,2.24,5.98,A320neo,True,0|3|4|7|10|14,leisure,1850,0.85,low,5000,high,108.36,1500,13674.2,15174.2,1850
